time_jst,ssr,station,squawk,pressure_alt_ft,lat,lon,alt_m,azimuth_rad,tau_ns,replies,sigma_e_m,sigma_n_m,sigma_u_m,track,flight,status,sm_lat,sm_lon,sm_alt_m,sm_sigma_e_m,sm_sigma_n_m,sm_sigma_u_m,vel_e_mps,vel_n_mps,vel_u_mps,turn_rate_dps
2026-06-10T00:00:29.593271300,KX90S,KX90,3650,3000,34.9061505,136.8039985,914.400,6.037130520,42480,5,217.8,70.9,8.8,1,1,ambiguous,34.9072265,136.8093747,909.155,150.0,57.9,7.7,98.9,35.4,12.26,2.68
2026-06-10T00:00:31.175844150,KX90S,KX90,3534,7600,34.5208273,137.3477686,2316.480,2.216618352,411684,19,132.5,171.1,8.8,4,4,ok,34.5214922,137.3483312,2314.664,47.9,60.3,4.4,-114.8,71.2,-5.46,-0.00
2026-06-10T00:00:31.227465800,KX90S,KX90,6250,5100,34.6148164,137.1415078,1554.480,2.296947858,269800,20,97.4,107.1,8.8,5,5,ok,34.6148957,137.1415144,1546.244,42.0,48.5,4.4,-118.0,63.9,-3.20,0.08
2026-06-10T00:00:31.866099550,KX90S,KX90,3256,14700,33.9389147,136.6565956,4480.560,3.290738604,688457,7,2855.4,431.4,8.8,16,16,unconfirmed,,,,,,,,,,
2026-06-10T00:00:32.426563400,KX90S,KX90,6141,32000,34.7475860,136.6175177,9753.600,4.162887524,161733,21,58.6,70.2,8.8,8,8,ok,34.7474326,136.6174856,9753.569,29.5,30.1,4.3,78.9,-199.0,-0.12,0.01
2026-06-10T00:00:32.686146700,KX90S,KX90,3650,3100,34.8424477,136.7537784,944.880,4.566830183,42552,21,46.4,22.5,8.8,9,9,ok,34.8424479,136.7537552,947.170,23.3,12.4,4.3,21.4,-90.5,11.92,-2.07
2026-06-10T00:00:33.234811200,KX90S,KX90,3245,34000,35.1711059,136.3639563,10363.200,5.420619385,371255,20,129.6,148.7,8.8,2,2,ok,35.1722300,136.3652064,10363.179,55.0,57.7,4.3,74.0,-177.7,1.49,0.01
2026-06-10T00:00:33.242185800,KX90S,KX90,3650,3100,34.8909425,136.7650400,944.880,5.432088195,44567,3,192.9,218.6,8.8,17,17,unconfirmed,,,,,,,,,,
2026-06-10T00:00:34.084356400,KX90S,KX90,6141,32000,35.0282243,136.9278851,9753.600,0.459712013,162640,5,697.0,347.8,8.8,18,18,unconfirmed,,,,,,,,,,
2026-06-10T00:00:35.215608300,KX90S,KX90,3534,7500,34.5222134,137.3414202,2286.000,2.220466128,407967,21,131.9,169.2,8.8,4,4,ok,34.5239889,137.3431973,2287.711,48.7,61.1,4.3,-115.6,69.8,-5.43,-0.00
2026-06-10T00:00:35.265755100,KX90S,KX90,6250,5000,34.6176388,137.1366914,1524.000,2.298517809,266205,21,96.3,105.6,8.8,5,5,ok,34.6172658,137.1363652,1529.986,42.1,48.6,4.4,-117.1,64.4,-3.38,0.04
2026-06-10T00:00:36.439779200,KX90S,KX90,6141,32000,34.7405661,136.6206880,9753.600,4.125845417,162945,22,59.7,69.9,8.8,8,8,ok,34.7402391,136.6209506,9753.569,29.7,29.8,4.3,78.5,-199.3,-0.15,0.04
2026-06-10T00:00:36.683138500,KX90S,KX90,3650,3300,34.8391153,136.7550597,1005.840,4.504625637,42525,20,46.1,23.2,8.8,9,9,ok,34.8392678,136.7550135,995.402,23.1,12.8,4.3,34.7,-86.0,11.79,-1.61
2026-06-10T00:00:37.268675700,KX90S,KX90,3245,34000,35.1652777,136.3680726,10363.200,5.415991832,366642,19,127.5,147.4,8.8,2,2,ok,35.1657902,136.3685434,10363.190,53.9,56.6,4.3,73.8,-178.9,1.46,0.02
2026-06-10T00:00:37.519409500,KX90S,KX90,4302,39000,36.1017138,136.0225010,11887.200,5.806107123,1047600,3,5901.4,3050.7,8.8,12,12,ok,36.0999277,136.0188562,11887.437,2287.8,1199.1,7.9,-9.6,267.6,-5.96,-0.00
2026-06-10T00:00:39.245048100,KX90S,KX90,3534,7400,34.5305993,137.3418019,2255.520,2.207702111,404393,15,128.9,169.2,8.8,4,4,ok,34.5264954,137.3381099,2261.748,50.5,64.0,4.3,-115.7,68.7,-5.09,-0.00
2026-06-10T00:00:39.308469000,KX90S,KX90,6250,5000,34.6187805,137.1302412,1524.000,2.306373523,262713,15,95.9,103.7,8.8,5,5,ok,34.6196429,137.1312426,1511.891,41.8,48.2,4.4,-116.6,64.4,-3.72,-0.05
2026-06-10T00:00:39.399913100,KX90S,KX90,3240,23300,34.0448914,137.6219714,7101.840,2.448643932,781533,3,3776.7,3135.9,8.8,14,14,ok,34.0518714,137.6322233,7103.943,2656.4,2204.2,8.6,31.9,-214.3,-0.12,-0.00
2026-06-10T00:00:39.485457600,KX90S,KX90,3650,3400,34.8110593,136.8509709,1036.320,2.581735604,42275,4,172.0,113.8,8.8,13,13,echo,34.8099083,136.8489727,1036.095,165.8,109.0,8.7,276.1,102.7,12.38,-10.00
2026-06-10T00:00:40.451520200,KX90S,KX90,6141,32000,34.7328310,136.6245998,9753.600,4.084753633,164305,21,61.1,69.4,8.8,8,8,ok,34.7330469,136.6243865,9753.577,30.2,29.5,4.3,77.8,-199.3,-0.18,0.04
2026-06-10T00:00:40.686030050,KX90S,KX90,3650,3400,34.8363473,136.7568294,1036.320,4.449608392,42215,20,45.7,23.8,8.8,9,9,ok,34.8362454,136.7567713,1041.830,22.7,13.2,4.3,44.4,-82.1,11.21,-1.13
2026-06-10T00:00:41.304015100,KX90S,KX90,3245,34000,35.1594600,136.3720248,10363.200,5.411080851,362119,21,125.3,146.1,8.8,2,2,ok,35.1592929,136.3718259,10363.186,53.1,56.3,4.3,73.7,-179.1,1.44,0.00
2026-06-10T00:00:43.292186700,KX90S,KX90,3534,7300,34.5278738,137.3320139,2225.040,2.220939305,400833,21,129.8,166.2,8.8,4,4,ok,34.5289175,137.3329517,2237.345,50.9,66.3,4.4,-119.1,62.3,-4.66,-0.71
2026-06-10T00:00:43.345283300,KX90S,KX90,6250,4900,34.6226572,137.1268215,1493.520,2.303542768,259229,21,94.5,102.6,8.8,5,5,ok,34.6219840,137.1261227,1493.608,42.4,48.1,4.4,-115.8,64.6,-3.92,-0.01
2026-06-10T00:00:44.464736000,KX90S,KX90,6141,32000,34.7251354,136.6283155,9753.600,4.045099095,165957,23,62.5,69.0,8.8,8,8,ok,34.7258620,136.6278152,9753.630,30.7,29.3,4.3,76.5,-196.5,-0.21,0.06
2026-06-10T00:00:44.684496800,KX90S,KX90,3650,3600,34.8333135,136.7589182,1097.280,4.386985647,41984,19,45.2,24.9,8.8,9,9,ok,34.8333288,136.7588905,1085.068,22.3,13.8,4.3,51.9,-80.2,10.28,-0.70
